,emotion,clean_text
1863,happy,case love enough check swooni coffe cup design ht
1864,happy,defin beauti amaz group creativ older peopl perform tomorrow eve creativeag thank
1865,happy,welcom kerepakupai vena
1866,nocode,journey room collect follow u instagram via
1867,nocode,formidabil
1868,nocode,tranquil member room chanc reflect draw yet emerg page
1869,nocode,tomb nebamun bc egyptolog archaeolog ancientegypt
1870,nocode,tate
1871,happy,excit enrout nighttrain artistnetwork
1872,nocode,zoroastrian heritag photo flickstackr
1873,nocode,anoth fli soul great master white lekytho
1874,nocode,ff
1875,happy,look forward pollock show open tonight look like incred show jacksonpollock blindspot
1876,nocode,none
1877,nocode,none
1878,nocode,symbolog behind broken scepter
1879,nocode,decod anglo saxon art via
1880,nocode,jackson pollock gave paint art
1881,nocode,object base learn ccconf
1882,nocode,evacu
1883,nocode,berthemorisot daughter juliemanet wrote frank diari famili
1884,happy,monday old woman ugli duchess quinten massi art
1885,nocode,grand elector
1886,happy,judg definingbeauti greek good go alexanderthegreat hair envi
1887,nocode,exhibit schedul decid role director feed askthegalleri
1888,happy,boulevard montmartr night camil pisarro favouritepaintingfriday
1889,nocode,dumfri
1890,not-relevant,minion still loo last spot outsid minionmania
1891,nocode,trailer brand new film touch diari preview th juli
1892,surprise,veteran priest could probabl whip heart second
1893,nocode,curat trip
1894,nocode,none
1895,happy,look forward attend defeatdepress even
1896,happy,love
1897,nocode,paint draw exhibit wtewael jun oct goldenag
1898,not-relevant,rt rt today mark th anniversari battl waterloo f
1899,nocode,new pollock exhibit look back time jack dripper splash
1900,nocode,askthegalleri see declin attend last year young peopl
1901,nocode,london cassc enlightenmentgalleri librari galleri museum cabinet artifact statu
1902,nocode,lincoln materialhistori
1903,happy,look great fun today thank deena
1904,nocode,london greater london w
1905,not-relevant,thank share featur
1906,happy,regal fran hal deserv frame
1907,happy,realli look forward visit weekend see corin sworn award win instal
1908,nocode,lesson death live juli jon underwood christina bradstreet
1909,nocode,londr
1910,nocode,london interest natur may enjoy free event london
1911,happy,britishmuseum rt spent morn learn mummi fascin well pre
1912,happy,special place love go train london regular visitor
1913,happy,go beauti inspir place
1914,happy,quina enveja gaudeix molt ssim
1915,happy,forget world class art stun exhibit fitzwilliam museum scott polar institut zoolog museum
1916,nocode,long enid blyton exhibit
1917,not-relevant,analysi superfici financi pictur museum uk dire thank torus polici
1918,not-relevant,none
1919,nocode,una app con actividad en torno la colecci n de la para ni o partir de o appartkid
1920,angry,askthegalleri candi udwin reinstat colleagu paid live wage
1921,nocode,touch diari trailer premier th juli
1922,nocode,would like welcom child hidden impair museum see
1923,angry,thank torus one get close see let alon festiv rememb
1924,not-relevant,warm welcom ff follow week
1925,nocode,today longest day northern hemispher summersolstic stoneheng
1926,nocode,weapon resist jandamarra hero bunuba peopl via
1927,nocode,simon armitag convers threshold poet matthew holli juli
1928,happy,one item deliv post make smile let head back
1929,happy,nereid monument built ancient lycia turkey pinch th centuri tourist
1930,nocode,culturegeek via
1931,nocode,sister museum waterloo exhibit year
1932,nocode,london greater london
1933,happy,uccello battl san romano love learnt abt even actual saw nat gall
1934,nocode,glitter turq dress worn precursor strictli collect display pattern crochet mini
1935,not-relevant,congrat pair tix artist present sat collect tix box offic
1936,nocode,si troppo tardi anch per
1937,nocode,weapon resist jandamarra hero bunuba peopl v
1938,nocode,en artist larri bell still make art
1939,nocode,actual might ivana big sister
1940,nocode,quern magnet
1941,nocode,visit fallen emperor napoleon plymouth sound
1942,happy,especi look forward hear panel circuit
1943,happy,love hear stephani strain co curat pollock share joy passion geniu
1944,nocode,whaley move skull
1945,nocode,greec today lastday revisit ancient greek art
1946,happy,welcom see juli
1947,happy,fulli agre huge congratul
1948,nocode,askthegalleri highli rate tenur greatest achiev
1949,nocode,le journal est sorti de press le une aujourd hui via
1950,happy,wow great work jackson pollock exhibit go amaz
1951,nocode,worth hear shut eye
1952,not-relevant,nd genocid biafran promis buhari begun day unreport aerial bombard biafraland
1953,nocode,gold roman wed ring mention novel summer fire one
1954,happy,real art great inspir
1955,nocode,attend adjourn debat tomorrow noprivatis reinstatecandi
1956,nocode,look siberian villag landscao carv narwhal ivori thc
1957,nocode,entitl modern british art barbara explor galleri inspir artist like roger fri august john
1958,not-relevant,buhari join boko haram kill biafra fir pas three day
1959,happy,one favourit napoleon comet hat
1960,nocode,hold biggest archiv collect relat battl waterloo
1961,nocode,veneto unesco opera oltr l expo e la biennal il governo del mondo su
1962,nocode,exhibit open art fair event juli soundscap
1963,not-relevant,didnt see name like made twitter name
1964,nocode,ff
1965,happy,excit see student perform danc piec inspir new rhythm exhib sat
1966,happy,ye heard right new jackson pollock exhibit open
1967,happy,streeton nation game cigar box lid
1968,happy,artist present work june look pretti darn good
1969,nocode,heard soup collect deborah la fill u
1970,nocode,tell govern
1971,angry,askthegalleri dr penni enter negoti staff strike day
1972,nocode,jacksonpollock gave paint jackson pollock blind spot exhibit
1973,happy|surprise,look spot outsid starwar life yoda nationalgalleri leicestersquar
1974,happy,thank rt
1975,happy,galleri glasgow could save union glow review warm imagin
1976,nocode,london greater london
1977,nocode,whole art war consist get side hill duke wellington true waterloo
1978,happy,friday know brazil today share kiss beauti love
1979,nocode,could invit old master painter dinner parti would askthegalleri
1980,happy,may destroy jewish templ though also lay foundat carlisl bad
1981,nocode,probabl forebear dot per inch dpi concept era
1982,nocode,might see let know think
1983,nocode,sat castlehil pack free event indoor age plu last chanc see
1984,not-relevant,nd genocid biafran promis buhari begun day unreport aerial bombard biafraland
1985,nocode,last episod napoleon seri start min andrew robert visit pari cartoon exhibit
1986,surprise,british doubl line format squad fire work sure entir battalion one long line deep
1987,nocode,streetphotographi suffolk manchest socialdocumentari peopl
1988,nocode,follow interest deliveri ambiti vision ff culturegeek
1989,happy,absolut love first visit beauti collect thought imagin curat
1990,happy,fav
1991,not-relevant,spell solut spellcheck
1992,nocode,maclain highwayman rob lord eglington sic hounslowheath onthisday th june
1993,nocode,artist present beatric gibson sarah turner larissa sansour
1994,happy,amaz facil par uffizi louvr well worth visit
1995,happy,feel closer home indigenousaustralia great v display shi big issu art
1996,happy,incred small object store share
1997,nocode,new exhibit soundscap open juli
1998,happy,thank napoleon egyptian expedit world nowaday know lot ancient egypt one good achiev
1999,happy,eek need put date diari get love soundscap art music life
2000,not-relevant,thank follow gilldesignl
2001,nocode,acrobat oscar artistreflect
2002,happy,art nervou breakdown majest pollock
2003,happy|sad,inspir mani girl search marriag doubt artist make v good husband regrett
2004,happy,stun
2005,nocode,monet marri wife camil onthisday beach trouvil artist
2006,happy,love show friend see holbein skull ambassador need stand
2007,nocode,anglo saxon drink horn found taplow burial date late th centuri ad display
2008,nocode,hmm interest aunt catherin aragon badg
2009,nocode,save date artist talk svend bayer tue juli pm
2010,not-relevant,nd genocid biafran promis buhari begun day unreport aerial bombard biafraland
2011,surprise,well never knew
2012,nocode,lothar g tz mirror imag lothargoetz
2013,happy,still get shiver delight excit everi time walk place
2014,happy,also one favourit
2015,happy,manag last visit need extra storag coupl favourit happi oblig
2016,nocode,mt open st pancra onthisday learn
2017,not-relevant,second genocid biafran promis buhari begun dy unreport aerial bombad biafraland
2018,nocode,piero della francesca confer might bring new thought piero
2019,happy,favourit summer art seurat bather asnier
2020,nocode,old shield art discov histori
2021,nocode,plea feel free stop today castlehil
2022,nocode,neither
2023,nocode,la abr blind spot de jacksonpollock seri realizada entr exhibida luego de o art
2024,nocode,seen new instagram account stop look discov share u love canaletto
2025,nocode,read latest e news richard long line made walk licens imoo
2026,nocode,fertil trade year follow battl
2027,happy,new jackson pollock blind spot exhibit open public tomorrow excit liverpool art miss
2028,happy,ilovemuseum everi time visit find someth new
2029,happy,good exhibit wm turner watercolour work donat john ruskin collect culturaldayforanorthern
2030,not-relevant,johnthebaptist thing w
2031,happy,agre exquisit
2032,nocode,join u tomorrow dr nichola penni live q tweet question use asktheg via
2033,nocode,greek lovecoupl father carl kohler
2034,happy,jackson pollock exhibit come must see wait see
2035,nocode,draw art london ttot lp vacat trip photographi photo travel travelp
2036,nocode,appreci art sen start weekend u find http via
2037,nocode,time run catch new rhythm well select gaudier brzeska bird helen bedroom day left
2038,happy,world histori learn real summer hahaha
2039,nocode,se fuori piov facciamoci un po di cultura london greater london
2040,happy,look like kind place
2041,happy,hurray welcom
2042,nocode,doge
2043,happy,good meet team wrexham museum open new egyptian exhibit
2044,happy,wonder evok exhibit definingbeauti
2045,nocode,finish irv finkel ark noah featur tablet photo shown
2046,happy,look forward start resid today
2047,happy,ye one favourit galleri relax atmospher
2048,nocode,second phase cornwal tate st ive steam ahead
2049,nocode,roman cameo w cupid hold satyr mask
2050,not-relevant,second genocid agvainst biafran promis buhari begun day unreport aerial bombard biafraland
2051,nocode,chanc see artist friend sarahturn
2052,happy,thank much absolut love
2053,happy,well done
2054,angry,stop privatis servic sign petit via
2055,happy,inspir articl wish cambridg univers museum zoolog might put show
2056,nocode,none
2057,nocode,none
2058,surprise,crop imag timelin look like someth entir differ anyon el see
2059,not-relevant,ff
2060,nocode,london open call submiss paper subject art expens museum
2061,not-relevant,l angleterr est une nation de boutiqui waterloo
2062,nocode,london greater london
2063,nocode,museum archaeolog anthropolog univers cambridg cambridg uk
2064,nocode,vangogh la
2065,happy,townsend also design beauti mosaic illustr architectur
2066,nocode,ng jacob van ruisdael shore egmond aan zee c art twitart
2067,happy,impos excel visit
2068,nocode,open tomorrow mysteri magic midnight feast adventur enid blyton
2069,nocode,london greater london
2070,happy,impress would certainli inspir day enter ra
2071,happy,fabul greek statu exhibit learnt much includ physic beauti sign inner good struth evil
2072,nocode,touch code exist u trailer film touch diari premier
2073,nocode,peopl like french much british went like pirat naval might
2074,nocode,back winner collect royalascot
2075,nocode,sir nichola penni recent retir head also receiv honorari degre
2076,nocode,ty also follow abstract film program ff hungryghost
2077,nocode,none
2078,happy,plea abl see ancient live new discoveri exhibit close fascin use tech
2079,nocode,rosetta stone exampl napoleon war brought egypt treasur
2080,sad|disgust,definingbeauti public photo crop repro time poor though tempt refund
2081,nocode,donneinart postimpressionismo le grand baigneus paul c zann
2082,nocode,terma underwat throne last weekend
2083,happy,caro tribut duccio wonder mysteri thing edg space wax wood
2084,nocode,miss fill space gaudier brzeska tomorrow castlehillopen
2085,nocode,ruben born onthisday view mani work includ samson via
2086,happy,art good also love flower
2087,happy,shortli hear lindsay allason jone lectur see fab collect
2088,happy,earli photoshoot shoot amaz jacksonpollock u magazin
2089,nocode,pay went whoop feel okay work want head final catch defin beauti
2090,nocode,rt monet marri camil onthisday beach trouvil
2091,happy,look forward watch bafta nomin tonight ahead
2092,happy,chat guid babi jesu big paint decid jesu king babi
2093,angry,british museum highwayman return stolen good owner coloni pillag
2094,happy,rediscov love precolumbian america jago cooper inca master cloud awesom
2095,happy,realli enjoy hear talk enthusiasm pollock afternoon
2096,nocode,privat curat tour watercolour exhib inc item archiv
2097,surprise,two would never thought
2098,nocode,british museum luton
2099,happy,excel post classic classicis graffito outsid senecarul
2100,nocode,goe st ive
2101,not-relevant,head commun ft london artsjob close soon
2102,nocode,stoneheng summer solstic w sun rise behind slaughter stone bertram buchanan british
2103,nocode,cuneiform clay tablet new babylonian c thc bce astronom record jupit acquir iraq
2104,nocode,last week see new rhythm featur work henri gaudier brzeska close june
2105,nocode,ng vuillard mantelpiec art twitart
2106,nocode,tempt stay close museum night
2107,happy,love exhibit egyptian mummi
2108,not-relevant,citi cultur travel news pick today origin tweet via
2109,happy,thank show u event death paint ye
2110,nocode,imag select evolv magazin finalist show open four fish
2111,happy,great photo definit go visit summer
2112,nocode,liverpool student offer
2113,happy,bet good search favourit art institut bye
2114,happy,celebr new pollock exhibit amaz ticket event live pollock jazz juli visit websit ticket
2115,happy,definingbeauti exhibit fantast close nd juli hurri hurri taster
2116,nocode,week left defin beauti bodi ancient greek art th juli
2117,nocode,saturday juli london symposium radic film contemporari greec athen
2118,not-relevant,buhari join boko haram kill biafra peopl pas three day
2119,nocode,histor kitchen take pungent recip ancientrom cookbook
2120,happy,certainli get chanc look round garden definit back soon
2121,nocode,galleri londonsight
2122,nocode,napoleon relationship woman divorc josephin waterloo
2123,nocode,last chanc gaudier brzeska new rhythm close sunday
2124,nocode,wander ancient greek galleri helmet corinthian offer zeu
2125,nocode,etch glass thursday night gin perform pm
2126,happy,teruel ham excel choic definit visit list
2127,happy,courtauldsummerparti ticket book whoop courtauld letthegoodtimesrol
2128,not-relevant,cheap rayban click
2129,nocode,like melt carv frame pari
2130,nocode,better jaw jaw think manag
2131,angry,go visit take photo art instead take photo wast time
2132,nocode,ng gerrit dou poulter shop c art dutchart
2133,happy,thank gad good day
2134,happy,seem reason
2135,nocode,link por e el tuit popular en mi news feed de hoy
2136,happy,love exhibit kanga inspir
2137,happy,look forward privat view today time start
2138,happy,love rivan neuenschwand wish wish instal
2139,nocode,film n glutton ice cream truth waterloo ziggypiggi
2140,not-relevant,nd genocid biafran promis buhari begun day unreport aerial bombard biafraland
2141,nocode,arriv earli liverpool see thing offer incl
2142,happy,tour garden pm art collect pm part castl hill open day tomorrow hope see
2143,happy,cambridg spoilt choic
2144,nocode,london greater london
2145,not-relevant,search great confer venu summer take peak edg offer
2146,happy,cambridg love cat souvenir gaudier brzeska draw monmouthcoffe
2147,nocode,ancient artefact meet new technolog ramm millionth visitor exet
2148,happy,ff great museum account
2149,nocode,favorit beethoven kiss whole world aloi kolb
2150,happy,one favourit sother
2151,nocode,fraud law made voicelj
2152,happy,doubt one best attract london
2153,nocode,helen wilson talk cda phd work w innov techniqu add cdavalu
2154,sad,ye rembrandt paint make weep dutch th c golden age paint ahhhhhhhh
2155,happy,frame make differ close klimt palla athen frame beauti
2156,nocode,ye relat conquer granada flower includ coat arm
2157,happy,learn photographi histori respect dead yesterday ancientl son love home
2158,happy,experi master work lovecamb
2159,happy,son excit beauti museum februari
2160,nocode,castl hill open day today castl st methodist church
2161,nocode,last week canaltay
2162,happy,realli look forward see watercolour exhibit turner sargent whistler
2163,nocode,find inspir next week bronz age art ancient cypru roman money
2164,nocode,find allora calzadilla mud sculptur hopehippo
2165,nocode,ng jacob van ruisdael landscap ruin castl church art
2166,nocode,courtyard hous delft pieter de hooch oil canva
2167,not-relevant,rd genocid biafran promis buhari begun day unreport aerial bombard biafraland
2168,happy,lunchtim view get better
2169,nocode,peter paul ruben born otd sundayartexchang
2170,angry,stupid french prick crush russian imperi ancestor waterloo
2171,nocode,corinthian black figur hunt krater w caledonian boar antiphata polyda evdoro backward
2172,nocode,askthegalleri key success visitor come galleri anoth museum london
2173,nocode,last chanc enter competit win ticket indigen australia exhibit
2174,nocode,join wildaboutplymouth big bug hunt th juli plymouth
2175,nocode,transform caf special even perform pollock inspir jazz
2176,nocode,arttherapi ruben samson delilah london
2177,happy,britishmuseum rt say wow groundbreak mummi exhibit fan
2178,not-relevant,nd genocid biafran promis buhari begun day unreport aerial bombard biafraland
2179,nocode,traci kendal wallpap
2180,nocode,askthegalleri difficult audienc ever reach activ
2181,nocode,pictur gebhard leberecht von blucher flag waterloo bonaparteandthebritish
2182,nocode,celebr africa season visit exhibit sudanes lyre
2183,happy,ketaki sheth photo sidi peopl absolut amaz
2184,angry,today decid renew membership shout one spaniard
2185,happy,book worth valu potenti cda juli shld interest day
2186,nocode,curatori traine relaunch baroqu galleri tomorrow
2187,nocode,sei da manh em outubro maldi
2188,nocode,see hepworth via feat
2189,nocode,none
2190,happy,thank
2191,nocode,earli tool ancient rome similar swiss armi knife display cambridg
2192,happy,french th centuri room open reinstat dome natur light fantast
2193,nocode,saw definingbeauti disabl repres perceiv classic greec
2194,nocode,child commiss rivan neuenschwand work child fear london adultfear
2195,not-relevant,indigenousaustralian petroglyph time older stoneheng destroy woodsid b lng
2196,nocode,dr jago cooper pgrfest keynot speaker speak power research
2197,happy,hearingaccess inspir role model peopl hear loss
2198,nocode,mp debat plan privatis yesterday pc member continu latest day strike
2199,happy,convers alan cotton david hempleman adam next thursday via come along
2200,sad,distanc make heart grow fonder alreadi heartbroken shut yr refurb jun go
2201,happy,river star reindeer exhibit take photo back commun get respons great
2202,nocode,ff followfriday
2203,nocode,
2204,nocode,hello jerwood galleri hast dr penni favourit modern british work collect askthegalleri
2205,nocode,construct steam ahead tate st ive phase
2206,nocode,born onthisday peterpaulreuben fall damn art altepinakothek
2207,nocode,london greater london
2208,happy,music artist love food u ever come london one foodi eat
2209,nocode,rare seen watercolour treasur go display
2210,nocode,cheeki spous daili stori via
2211,nocode,today intern visit reunit archiv document object distribut year
2212,nocode,davvero bella quest opera grazi dil benvenuto tisi pagan sacrific london uk
2213,happy,spent day get lost museum cambridg especi amaz collect
2214,sad,view l estaqu c zann risk export unless buyer match ask price
2215,not-relevant,said napol n arengaba esta hora su tropa preocupado por si el barro dejar mover lo ca one waterloo
2216,happy,top work exhibit team great summer season check pollock ligon bratescu pv tonight
2217,nocode,nicer girlfriend
2218,happy,faienc vessel excav sesebi nubia sesebi
2219,happy,beauti trafalgarsquar londonvac artgoestotheheart
2220,nocode,long list visit oh well patient
2221,nocode,read new articl periscop
2222,nocode,f en tu duro que en amigo ninguno
2223,nocode,weekendguid tomorrow pm go see discus cross cultur exchang
2224,nocode,mayo se descubr el primer sarc fago fenicio de gadir cadiz iv c
2225,nocode,ahahaha
2226,sad,unfortun transit narr part stori handwav away commentari
2227,nocode,happi birthday libbi xx
2228,nocode,tast honey bee african rock art via
2229,nocode,craigavon trade council send messag solidar
2230,nocode,start firstthursday cevich old st galleri pm next week
2231,happy,beauti creativ paint
2232,nocode,sound like femaleprivileg make take time everydaysex
2233,nocode,cover ulyss nya joyc karya matiss
2234,nocode,volunt need artist room gerhard richter deadlin thur sept artopp
2235,nocode,mold gold cape first pic mistaken
2236,nocode,janvaneyck hombr con turbant
2237,nocode,record th cent convers australia british soldier aborigin woman patyegarang
2238,not-relevant,join instagram follow u stop look discov share via
2239,nocode,rehears british museum show juli perform draw durat art egyptart
2240,nocode,first owner c zann stove studio boyhood friend emil zola via
2241,happy,love see hous morn final peek cambridg art
2242,nocode,wine clock nation cafe oliverpeyton tonight half price wine
2243,happy,look forward soundscap exhibit juli
2244,happy,happi birthday ruben samson delilah sexiest paint world purpl draperi
2245,nocode,real signific arab mint england reveal european islam past
2246,nocode,great baroquessn studi day discus galleri fantast new rehang visitor engag c art
2247,happy,enjoy visit today
2248,nocode,speechless ingmarbergman silenc tystnaden
2249,nocode,tonight head talk theatric contemporari art stage design
2250,nocode,token design made readi new egyptian tour start sat get yr recept day
2251,happy,ancient beauti much depend thank retweet
2252,nocode,british museum photographi streetphotographi
2253,nocode,sure christoph wood
2254,happy,look like brilliant summer programm
2255,happy,cool
2256,nocode,corn visscher larg cat engrav netherland
2257,nocode,think curat keep tradit art relev contemporari age askthegalleri
2258,nocode,alan cotton david hempleman adam campu edg thursday come along
2259,happy,indigenousaustralia exhibit power move importantli gloss evil coloni see
2260,happy,face music contrib inc
2261,not-relevant,fit father day also longest day
2262,nocode,mt longest day northern hemispher summersolstic stoneheng
2263,happy,thank got ig yesterday that must follow
2264,happy,review new rothschild renaiss galleri challeng intrigu
2265,nocode,found pretti old web design work
2266,happy,excit jackson pollock press view today sneakpeek
2267,happy,hello thank warm welcom
2268,angry,askthegalleri much public money spend brine ci scab current pc disput
2269,nocode,london greater london
2270,nocode,togeth climb everi mountain
2271,happy,great opportun see russian artist arseni zhilyaev thur show
2272,nocode,greek sculptur learn aw inspir journal
2273,nocode,saw thought
2274,happy,plea still come open pm today would love see castlehil
2275,happy,visual strike compil great blog riverstarsreind
2276,nocode,tomb nebamun bc egyptolog archaeolog ancientegypt
2277,happy,final made ancientl mummi anoth stun triumph fab studio
2278,nocode,ethel maud collect includ screen lumin latitud programm thur juli
2279,nocode,none
2280,nocode,stimmt wohl vielleicht sste ein dan brown seinen langdon in pergamon schicken
2281,nocode,fab liverpool packag jackson pollock blind spot voucher dazzleferri pick
2282,not-relevant,magnifiqu et mouvant
2283,nocode,mall mani mani mani other
2284,happy,visitor low cash glad see promin tast text give sign
2285,nocode,beauti beastli ancient greec definingbeauti
2286,happy,pebbl fancier tate curat jim ede collect stray object art beauti
2287,nocode,british print propaganda exhibit age napoleon feb aug
2288,not-relevant,fals alarm sorri got work anoth devic add list
2289,happy,great end time cake perform zugub dancer torr strait
2290,nocode,velazquez v nu expo e actuel pari mai habituel la
2291,nocode,vielleicht ist da britisch kostenlos model ein model
2292,happy,enjoy sansovino frame
2293,nocode,rothschild bronz michelangelo hold confer find
2294,happy,thank sir
2295,nocode,today monochrom dream stori via
2296,happy,thank inform beauti paint
2297,happy,definingbeauti wonder exhibit star thank x
2298,happy,nice info elect night denmark difficult keep concentr look interest
2299,happy,bought copi museum last summer love beauti artlov
2300,nocode,none
2301,not-relevant,second genocid biafra promis buhari begun day unreport aerial bombard biafraland
2302,nocode,take one pictur project give child across uk opportun present work pd
2303,nocode,imag cambridg may
2304,nocode,sat castlehil pack free event indoor age plu last chanc see
2305,nocode,go see art dialogu duccio caro weekend
2306,happy,great see newli hung baroqu galleri associ make sure miss
2307,happy,imag like thank highlight africanrockart work
2308,happy,truli great museum drink london lager photo
2309,nocode,aaron angel convers sam thorn sat juli pm studio voltair book recommend
2310,nocode,moscow modern art galleri open russiamuseum
2311,happy,sooooo wish art gcse long time ago man
2312,happy,good day thank regard follow
2313,happy,great morn ruskinturn watercolour
2314,happy,gril lure quicksilv mine beauti mughal
2315,nocode,lo vist el tuit popular de hoy entr la persona que sigo por
2316,happy,pollock cool
2317,nocode,plan stop tomorrow wed van gogh exhibit open pleasesayy
2318,nocode,life sinc die
2319,happy,show invent impression left london u fascin read even
2320,nocode,saturday find u castl hill open day methodist church castlehil
2321,happy,great tonight look forward main event next week bestinshow
2322,nocode,pm talk pavilion barbarahepworth jame richard
2323,nocode,place exportbar cezann masterpiec loan last chanc keep uk
2324,nocode,leonardodavinci virgin art museum
2325,not-relevant,parmi le grand neig de monet
2326,not-relevant,provid pm q servic galleri extens
2327,happy,visit got even excit uni possibl wait visit historicalarchaeolog
2328,nocode,self portrait murillo hand oval frame blur distinct via
2329,nocode,vote next big tv radio present watch presentercamp
2330,nocode,none
2331,nocode,rebecca hossack british museum talk collect indigen australian art fri rd juli
2332,nocode,hear paint see sound soundscap sep museummonday
2333,happy,thank support
2334,happy,tasti lunch st ive inn visit
2335,surprise,sure statu wd cold origin say freez brass ball
2336,nocode,gracia tenemo solo dia hasta q la campana se acaba
2337,nocode,seen
2338,happy,thank wonder activ today waterloo put togeth tweet storifi similar
2339,nocode,sat castlehil pack free event indoor age plu last chanc see
2340,nocode,london greater london
2341,nocode,discov art social medium noho featur artist natali ryde london art video
2342,happy,hiv group great time saturday eve defin beauti exhibit big thank
2343,surprise,got littl mummifi croc
2344,happy,definingbeauti excel highlight guy exhibit shop fantast servic asset museum
2345,nocode,none
2346,happy,today went store see amaz peruvian pot
2347,happy,fab last night southbank cool today good weekend london
2348,nocode,none
2349,happy,tough time see defin beauti show juli classic view human form fine godlik moral
2350,nocode,start twitter ac tweet pictur everi day period tweet collect askthegalleri
2351,nocode,le grand c zann de la
2352,nocode,hockley pendant found year old boy play dad detector
2353,happy,nice pictur worthi nation galleri
2354,happy,thank mani peopl place support castlehil
2355,sad,wish someth bankruptci ancient world
2356,nocode,oh ye inde also v interest bring event data togeth across
2357,nocode,sete di conoscenza london greater london
2358,nocode,hey get readi nazir tanbouli show juli watch doc streetart
2359,nocode,plymouth busi tri cargobik
2360,angry,hous solut propos meet flexibl need come time talk
2361,nocode,room full differ colour ribbon print wish st ive peopl chose take one
2362,happy,british press thought napoleon great inspir comicstrip sat art club
2363,not-relevant,none
2364,nocode,go behind green door last weekend tate st ive rt wait cellar chao
2365,nocode,tate everi good painter paint jackson pollock come soon
2366,nocode,london greater london
2367,happy,wow sunris st ive bay count
2368,happy,wilton diptych willowi seren angel gorgeou gold portabl balm soul
2369,nocode,london greater london
2370,nocode,pajay saw anoth room number roman dice appear load
2371,disgust,look like silli putti
2372,happy,think best souvenir
2373,happy,favourit oilpaint tiger tiger burn bright rousseau love go visit
2374,not-relevant,nd genocid biafran buhari h begun day unreport bombard biafraland
2375,nocode,bonapart fan without belgium would differ educ govern pari
2376,nocode,acquir five botticelli work includ venu mar arthistori
2377,nocode,capp new network new activ capp eu
2378,nocode,takeonepictur display summer pupil creat respon via
2379,not-relevant,ff
2380,nocode,askthegalleri part galleri would like well attend
2381,happy,astound sweet realli made feel happi insid inspir
2382,nocode,portrait cecil john rhode georg watt c london empirewarcricket
2383,nocode,qualiti french armi compar grand arm e earlier napoleon campaign waterloo
2384,nocode,none
2385,nocode,post subject taster week visit museum colleg lunch also includ book free place today lk ac uk
2386,happy,magnific
2387,nocode,shin guard
2388,nocode,nooooooooooooooooo cream jam
2389,nocode,latest enew richard long line made walk licens imoo
2390,nocode,kavita ishita london greater london
2391,nocode,fals teeth nick name waterloo teeth taken dead
2392,nocode,thank follow realli interest develop arab languag histori recommend
2393,not-relevant,department technician cambridg arttechspac arttechnician
2394,nocode,rachel review waddesdonbequest check
2395,not-relevant,ff
2396,nocode,cage infanc long freedom music instrument creativ
2397,happy|sad,enjoy exhibit like see critic race theori queer theori femin repres
2398,not-relevant,get creativ juic flow hold write workshop
2399,happy,thank
2400,nocode,molluscmonday button top shell snail
2401,nocode,umbrella c pierr august renoir via umbrella
2402,not-relevant,good
2403,nocode,two week go jackson pollock blind spot open someon liverpool come
2404,happy,saw second time sunday find incred
2405,nocode,tribut michelangelo manchest madonna finish
2406,nocode,miss event showcas juli eventprofsuk london
2407,nocode,twitter mention rt glori charl nation galleri gold gild som
2408,nocode,otd charl v elect holi roman emperor portrait frm th yr
2409,nocode,need support perhap exampl need
2410,happy,amaz
2411,happy,also see napoleon propaganda exhibit absolut brilliant
2412,happy,fabul
2413,not-relevant,graffiti classi kind near tuls hill station patsi slag
2414,nocode,
2415,happy,ah
2416,not-relevant,archaeolog magazin featur document catalogu effort africanrockart
2417,nocode,art dialogu duccio caro nation galleri london
2418,nocode,write time panel indigen australian exhibit pop everi day timelin
2419,nocode,free join u tuesday th juli network event sponsor volvo exet
2420,happy,love inform short film dwen brooch anglosaxon vike
2421,nocode,p bassett solicitor stori via
2422,nocode,also notori take minut complet breakfast know meal battl
2423,nocode,ralphmarley art
2424,happy,current project work go well far work henri gaudier brzeska provid enjoy round
2425,nocode,unesco veneto opera una risposta per l italia e una nuova vision del mondo su
2426,nocode,greec greec egyptian cultur
2427,happy,construct underway excit new cultur commun potenti hope help financ
2428,nocode,object big carri blog consult deborah walton
2429,happy,beauti
2430,happy,ok thank
2431,happy,slightli pertin work great ligon encount collis open next week
2432,nocode,biggest number jackson pollock black pour uk northern soul talk tate liverpool
2433,nocode,defin beauti bodi ancient greek art london greater london w
2434,nocode,askthegalleri perhap question may better answer inform org uk
2435,nocode,ticket sale definingbeauti
2436,nocode,greek beauti lastday defin beauti bodi ancient greek art take
2437,happy,hi interest stuff far sat susi
2438,not-relevant,afraid quit lot lost translat see mario praz explan
2439,happy,excel teach histori object love poster sent school ccconf
2440,happy,look stun wish smellyvis britishgarden rose flower summer
2441,nocode,pejor josiah tucker shopkeep nation adam smith wealth nation nation shopkeep
2442,sad,last selfi
2443,not-relevant,none
2444,happy,earli exhibit london greater london
2445,nocode,element natur constabl cotman palmer whistler sargent c zann
2446,nocode,join wildaboutplymouth big bug hunt th juli plymouth
2447,nocode,jame richard compos sonic score franci bacon paint part vac collect display
2448,happy,realli interest must visit thank
2449,sad,yr c zann paint leav uk unless fund rais via
2450,happy,look great wish could
2451,nocode,gari southwest daili stori via
2452,happy,fabul featur definit must read folk plan visit
2453,nocode,jun british museum cover museum tab london museum
2454,happy,definingbeauti stun celebr bodi ancient greek art end min video
2455,happy,thank tour amaz madrid
